Ogniem i Mieczem;HISTORICAL;1999,2,8;Adaptacja powieści Henryka Sienkiewicza. XVII wiek, na Kresach Wschodnich zbliża się wojna pomiędzy Rzeczpospolitą a Kozakami.
Matrix;SCI_FI;1999,3,24;Haker komputerowy Neo dowiaduje się od tajemniczych rebeliantów, że świat, w którym żyje, jest tylko obrazem przesyłanym do jego mózgu przez roboty.
Snowden;THRILLER;2016,7,21;Historia byłego pracownika CIA i NSA Edwarda Snowdena, który ujawnił prasie ściśle tajne dokumenty, doprowadzając do największego przecieku zastrzeżonych informacji w historii USA.
Siedem;THRILLER;1995,9,15;Dwóch policjantów stara się złapać seryjnego mordercę wybierającego swoje ofiary według specjalnego klucza - siedmiu grzechów głównych.
American Gangster;ACTION;2007,10,19;Czarnoskóry gangster Frank Lucas buduje w Nowym Jorku ogromne narkotykowe imperium. Na jego trop wpada nieprzekupny detektyw Richie Roberts.
Niezniszczalny;THRILLER;2000,11,14;Jedyny ocalały z katastrofy pociągu, David Dunn, dzięki fanatykowi komiksów odkrywa w sobie nadludzkie możliwości.
Avangers;FANTASY;2012,5,3;Grupa superbohaterów, na czele z Thorem, Iron Manem i Hulkiem, łączy siły, by obronić Ziemię przed inwazją kosmitów.
BRAVEHEART-Waleczne Serce;HISTORICAL;1995,5,18;W XIII-wiecznej Szkocji William Wallace, po zabójstwie swojej żony, zwołuje rodaków do walki ze znienawidzoną angielską monarchią.
Transformers";SCI_FI;2007,7,27;Transformers – amerykański fantastycznonaukowy film akcji z 2007 roku w reżyserii Michaela Baya. W rolach głównych wystąpili Shia LaBeouf, Jon Voight i Megan Fox. Film powstał na podstawie zabawek z serii Transformers produkowanych przez Metro-Goldwyn-Mayer oraz Hasbro.
The Godfather;THRILLER;1972,10,20;Don Vito Coreleone, head of a mafia family decides to hand over his empire to his youngest son Michael.
